date,region,cases,import_status
2020-05-01,CAMPECHE,7.0,local
2020-05-02,CAMPECHE,9.0,local
2020-05-03,CAMPECHE,4.0,local
2020-05-04,CAMPECHE,9.0,local
2020-05-05,CAMPECHE,3.0,local
2020-05-06,CAMPECHE,22.0,local
2020-05-07,CAMPECHE,10.0,local
2020-05-08,CAMPECHE,9.0,local
2020-05-09,CAMPECHE,15.0,local
2020-05-10,CAMPECHE,12.0,local
2020-05-11,CAMPECHE,16.0,local
2020-05-12,CAMPECHE,2.0,local
2020-05-13,CAMPECHE,15.0,local
2020-05-14,CAMPECHE,27.0,local
2020-05-15,CAMPECHE,27.0,local
2020-05-16,CAMPECHE,8.0,local
2020-05-17,CAMPECHE,8.0,local
2020-05-18,CAMPECHE,10.0,local
2020-05-19,CAMPECHE,13.0,local
2020-05-20,CAMPECHE,9.0,local
2020-05-21,CAMPECHE,26.0,local
2020-05-22,CAMPECHE,24.0,local
2020-05-23,CAMPECHE,28.0,local
2020-05-24,CAMPECHE,23.0,local
2020-05-25,CAMPECHE,14.0,local
2020-05-26,CAMPECHE,9.0,local
2020-05-27,CAMPECHE,34.0,local
2020-05-28,CAMPECHE,36.0,local
2020-05-29,CAMPECHE,13.0,local
2020-05-30,CAMPECHE,28.0,local
2020-05-31,CAMPECHE,20.0,local
2020-06-01,CAMPECHE,25.0,local
2020-06-02,CAMPECHE,4.0,local
2020-06-03,CAMPECHE,23.0,local
2020-06-04,CAMPECHE,44.0,local
2020-06-05,CAMPECHE,9.0,local
2020-06-06,CAMPECHE,39.0,local
2020-06-07,CAMPECHE,30.0,local
2020-06-08,CAMPECHE,35.0,local
2020-06-09,CAMPECHE,22.0,local
2020-06-10,CAMPECHE,34.0,local
2020-06-11,CAMPECHE,56.0,local
2020-06-12,CAMPECHE,21.0,local
2020-06-13,CAMPECHE,38.0,local
2020-06-14,CAMPECHE,34.0,local
2020-06-15,CAMPECHE,35.0,local
2020-06-16,CAMPECHE,24.0,local
2020-06-17,CAMPECHE,40.0,local
2020-06-18,CAMPECHE,58.0,local
2020-06-19,CAMPECHE,53.0,local
2020-06-20,CAMPECHE,47.0,local
2020-06-21,CAMPECHE,70.0,local
2020-06-22,CAMPECHE,59.0,local
2020-06-23,CAMPECHE,53.0,local
2020-06-24,CAMPECHE,67.0,local
2020-06-25,CAMPECHE,78.0,local
2020-06-26,CAMPECHE,73.0,local
2020-04-01,COAHUILA,-1595.0,local
2020-04-02,COAHUILA,5.0,local
2020-04-03,COAHUILA,7.0,local
2020-04-04,COAHUILA,2.0,local
2020-04-05,COAHUILA,11.0,local
2020-04-06,COAHUILA,21.0,local
2020-04-07,COAHUILA,7.0,local
2020-04-08,COAHUILA,14.0,local
2020-04-09,COAHUILA,8.0,local
2020-04-10,COAHUILA,13.0,local
2020-04-11,COAHUILA,13.0,local
2020-04-12,COAHUILA,1.0,local
2020-04-13,COAHUILA,19.0,local
2020-04-14,COAHUILA,18.0,local
2020-04-15,COAHUILA,1.0,local
2020-04-16,COAHUILA,21.0,local
2020-04-17,COAHUILA,3.0,local
2020-04-18,COAHUILA,15.0,local
2020-04-19,COAHUILA,5.0,local
2020-04-20,COAHUILA,17.0,local
2020-04-21,COAHUILA,11.0,local
2020-04-22,COAHUILA,13.0,local
2020-04-23,COAHUILA,11.0,local
2020-04-24,COAHUILA,22.0,local
2020-04-25,COAHUILA,23.0,local
2020-04-26,COAHUILA,8.0,local
2020-04-27,COAHUILA,10.0,local
2020-04-28,COAHUILA,10.0,local
2020-04-29,COAHUILA,1.0,local
2020-04-30,COAHUILA,38.0,local
2020-05-01,COAHUILA,13.0,local
2020-05-02,COAHUILA,20.0,local
2020-05-03,COAHUILA,13.0,local
2020-05-04,COAHUILA,23.0,local
2020-05-05,COAHUILA,13.0,local
2020-05-06,COAHUILA,2.0,local
2020-05-07,COAHUILA,10.0,local
2020-05-08,COAHUILA,36.0,local
2020-05-09,COAHUILA,16.0,local
2020-05-10,COAHUILA,9.0,local
2020-05-11,COAHUILA,10.0,local
2020-05-12,COAHUILA,12.0,local
2020-05-13,COAHUILA,32.0,local
2020-05-14,COAHUILA,9.0,local
2020-05-15,COAHUILA,19.0,local
2020-05-16,COAHUILA,23.0,local
2020-05-17,COAHUILA,12.0,local
2020-05-18,COAHUILA,3.0,local
2020-05-19,COAHUILA,25.0,local
2020-05-20,COAHUILA,42.0,local
2020-05-21,COAHUILA,23.0,local
2020-05-22,COAHUILA,41.0,local
2020-05-23,COAHUILA,3.0,local
2020-05-24,COAHUILA,8.0,local
2020-05-25,COAHUILA,52.0,local
2020-05-26,COAHUILA,41.0,local
2020-05-27,COAHUILA,48.0,local
2020-05-28,COAHUILA,15.0,local
2020-05-29,COAHUILA,35.0,local
2020-05-30,COAHUILA,69.0,local
2020-05-31,COAHUILA,0.0,local
2020-06-01,COAHUILA,4.0,local
2020-06-02,COAHUILA,81.0,local
2020-06-03,COAHUILA,85.0,local
2020-06-04,COAHUILA,53.0,local
2020-06-05,COAHUILA,43.0,local
2020-06-06,COAHUILA,70.0,local
2020-06-07,COAHUILA,93.0,local
2020-06-08,COAHUILA,47.0,local
2020-06-09,COAHUILA,52.0,local
2020-06-10,COAHUILA,46.0,local
2020-06-11,COAHUILA,188.0,local
2020-06-12,COAHUILA,38.0,local
2020-06-13,COAHUILA,25.0,local
2020-06-14,COAHUILA,60.0,local
2020-06-15,COAHUILA,84.0,local
2020-06-16,COAHUILA,235.0,local
2020-06-17,COAHUILA,83.0,local
2020-06-18,COAHUILA,128.0,local
2020-06-19,COAHUILA,127.0,local
2020-06-20,COAHUILA,124.0,local
2020-06-21,COAHUILA,119.0,local
2020-06-22,COAHUILA,43.0,local
2020-06-23,COAHUILA,211.0,local
2020-06-24,COAHUILA,102.0,local
2020-06-25,COAHUILA,254.0,local
2020-06-26,COAHUILA,209.0,local
2020-04-01,COLIMA,-3685.0,local
2020-04-02,COLIMA,0.0,local
2020-04-03,COLIMA,1.0,local
2020-04-04,COLIMA,0.0,local
2020-04-05,COLIMA,0.0,local
2020-04-06,COLIMA,0.0,local
2020-04-07,COLIMA,1.0,local
2020-04-08,COLIMA,2.0,local
2020-04-09,COLIMA,0.0,local
2020-04-10,COLIMA,0.0,local
2020-04-11,COLIMA,0.0,local
2020-04-12,COLIMA,0.0,local
2020-04-13,COLIMA,1.0,local
2020-04-14,COLIMA,0.0,local
2020-04-15,COLIMA,0.0,local
2020-04-16,COLIMA,0.0,local
2020-04-17,COLIMA,2.0,local
2020-04-18,COLIMA,1.0,local
2020-04-19,COLIMA,1.0,local
2020-04-20,COLIMA,0.0,local
2020-04-21,COLIMA,3.0,local
2020-04-22,COLIMA,0.0,local
2020-04-23,COLIMA,1.0,local
2020-04-24,COLIMA,0.0,local
2020-04-25,COLIMA,1.0,local
2020-04-26,COLIMA,2.0,local
2020-04-27,COLIMA,5.0,local
2020-04-28,COLIMA,2.0,local
2020-04-29,COLIMA,0.0,local
2020-04-30,COLIMA,1.0,local
2020-05-01,COLIMA,1.0,local
2020-05-02,COLIMA,1.0,local
2020-05-03,COLIMA,0.0,local
2020-05-04,COLIMA,1.0,local
2020-05-05,COLIMA,1.0,local
2020-05-06,COLIMA,0.0,local
2020-05-07,COLIMA,4.0,local
2020-05-08,COLIMA,3.0,local
2020-05-09,COLIMA,0.0,local
2020-05-10,COLIMA,6.0,local
2020-05-11,COLIMA,1.0,local
2020-05-12,COLIMA,1.0,local
2020-05-13,COLIMA,0.0,local
2020-05-14,COLIMA,8.0,local
2020-05-15,COLIMA,4.0,local
2020-05-16,COLIMA,4.0,local
2020-05-17,COLIMA,7.0,local
2020-05-18,COLIMA,6.0,local
2020-05-19,COLIMA,4.0,local
2020-05-20,COLIMA,4.0,local
2020-05-21,COLIMA,8.0,local
2020-05-22,COLIMA,6.0,local
2020-05-23,COLIMA,3.0,local
2020-05-24,COLIMA,12.0,local
2020-05-25,COLIMA,3.0,local
2020-05-26,COLIMA,3.0,local
2020-05-27,COLIMA,10.0,local
2020-05-28,COLIMA,7.0,local
2020-05-29,COLIMA,1.0,local
